STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/12/29,0.08,16,-5
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/13/29,0.06,25,16
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/14/29,0,26,10
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/15/29,0,31,14
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/16/29,0,37,12
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/17/29,0,40,15
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/18/29,0.01,18,2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/19/29,0.14,13,-3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/20/29,0,19,-9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/21/29,0.05,28,9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/22/29,0,14,0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/23/29,0,36,9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/24/29,0,45,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/25/29,0.02,43,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/26/29,0,47,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/27/29,0,40,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/28/29,0,43,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/1/29,0,37,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/2/29,0,42,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/3/29,0,45,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/4/29,0,40,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/5/29,0,43,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/6/29,0,57,21
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/7/29,0,26,8
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/9/29,0,29,13
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/10/29,0,41,10
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/11/29,0,48,36
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/12/29,0,66,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/13/29,0.29,58,49
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/14/29,0.02,68,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/15/29,1.46,51,33
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/16/29,0.1,38,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/17/29,0,48,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/18/29,0,60,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/19/29,0,55,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/20/29,0,51,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/21/29,0.09,64,39
